name,code2018,code2019,rivm,inhabitant_frac_new
Appingedam,3,3,Appingedam,1.0
Bedum,5,1966,Het Hogeland,0.21044176706827308
Ten Boer,9,14,Groningen,0.03180628272251309
Delfzijl,10,10,Delfzijl,1.0
Groningen,14,14,Groningen,0.8827879581151833
Grootegast,15,1969,Westerkwartier,0.19924658095160103
Stein,971,971,Stein,1.0
Vaals,981,981,Vaals,1.0
Venlo,983,983,Venlo,1.0
Haren,17,14,Groningen,0.08540575916230367
Leek,22,1969,Westerkwartier,0.32151338956678405
Loppersum,24,24,Loppersum,1.0
Marum,25,1969,Westerkwartier,0.17033821963803128
Almere,34,34,Almere,1.0
Voerendaal,986,986,Voerendaal,1.0
Stadskanaal,37,37,Stadskanaal,1.0
Veendam,47,47,Veendam,1.0
Zeewolde,50,50,Zeewolde,1.0
Winsum,53,1966,Het Hogeland,0.27309236947791166
Zuidhorn,56,1969,Westerkwartier,0.3089018098435837
Dongeradeel,58,1970,Noardeast-Fryslân,0.5254833040421792
Achtkarspelen,59,59,Achtkarspelen,1.0
Ameland,60,60,Ameland,1.0
Valkenburg aan de Geul,994,994,Valkenburg aan de Geul,1.0
Arnhem,202,202,Arnhem,1.0
Harlingen,72,72,Harlingen,1.0
Heerenveen,74,74,Heerenveen,1.0
Kollumerland en Nieuwkruisland,79,1970,Noardeast-Fryslân,0.2827328646748682
Leeuwarden,80,80,Leeuwarden,1.0
Ooststellingwerf,85,85,Ooststellingwerf,1.0
Opsterland,86,86,Opsterland,1.0
Schiermonnikoog,88,88,Schiermonnikoog,1.0
Smallingerland,90,90,Smallingerland,1.0
Terschelling,93,93,Terschelling,1.0
Vlieland,96,96,Vlieland,1.0
Weststellingwerf,98,98,Weststellingwerf,1.0
Assen,106,106,Assen,1.0
Coevorden,109,109,Coevorden,1.0
Emmen,114,114,Emmen,1.0
Hoogeveen,118,118,Hoogeveen,1.0
Meppel,119,119,Meppel,1.0
Almelo,141,141,Almelo,1.0
Borne,147,147,Borne,1.0
Dalfsen,148,148,Dalfsen,1.0
Deventer,150,150,Deventer,1.0
Cromstrijen,611,1963,Hoeksche Waard,0.14936088250744178
Enschede,153,153,Enschede,1.0
Barneveld,203,203,Barneveld,1.0
Haaksbergen,158,158,Haaksbergen,1.0
Hardenberg,160,160,Hardenberg,1.0
Hellendoorn,163,163,Hellendoorn,1.0
Heemstede,397,397,Heemstede,1.0
Diemen,384,384,Diemen,1.0
Hengelo,164,164,Hengelo,1.0
Harderwijk,243,243,Harderwijk,1.0
Kampen,166,166,Kampen,1.0
Losser,168,168,Losser,1.0
Noordoostpolder,171,171,Noordoostpolder,1.0
Haarlemmerliede en Spaarnwoude,393,394,Haarlemmermeer,0.03735452177640038
Oldenzaal,173,173,Oldenzaal,1.0
Ommen,175,175,Ommen,1.0
Raalte,177,177,Raalte,1.0
Staphorst,180,180,Staphorst,1.0
Tubbergen,183,183,Tubbergen,1.0
Urk,184,184,Urk,1.0
Weert,988,988,Weert,1.0
Wierden,189,189,Wierden,1.0
Zwolle,193,193,Zwolle,1.0
Aalten,197,197,Aalten,1.0
Apeldoorn,200,200,Apeldoorn,1.0
Beuningen,209,209,Beuningen,1.0
Brummen,213,213,Brummen,1.0
Buren,214,214,Buren,1.0
Culemborg,216,216,Culemborg,1.0
Doesburg,221,221,Doesburg,1.0
Doetinchem,222,222,Doetinchem,1.0
Druten,225,225,Druten,1.0
Lelystad,995,995,Lelystad,1.0
Horst aan de Maas,1507,1507,Horst aan de Maas,1.0
Oude IJsselstreek,1509,1509,Oude IJsselstreek,1.0
Utrechtse Heuvelrug,1581,1581,Utrechtse Heuvelrug,1.0
Oost Gelre,1586,1586,Oost Gelre,1.0
Koggenland,1598,1598,Koggenland,1.0
Hattem,244,244,Hattem,1.0
Duiven,226,226,Duiven,1.0
Ede,228,228,Ede,1.0
Elburg,230,230,Elburg,1.0
Rozendaal,277,277,Rozendaal,1.0
Epe,232,232,Epe,1.0
Ermelo,233,233,Ermelo,1.0
Geldermalsen,236,1960,West Betuwe,0.5308568004793289
Westervoort,293,293,Westervoort,1.0
Heerde,246,246,Heerde,1.0
Heumen,252,252,Heumen,1.0
Lochem,262,262,Lochem,1.0
Zutphen,301,301,Zutphen,1.0
Maasdriel,263,263,Maasdriel,1.0
Nijkerk,267,267,Nijkerk,1.0
Nijmegen,268,268,Nijmegen,1.0
Oldebroek,269,269,Oldebroek,1.0
Putten,273,273,Putten,1.0
Renkum,274,274,Renkum,1.0
Rheden,275,275,Rheden,1.0
Bunschoten,313,313,Bunschoten,1.0
Scherpenzeel,279,279,Scherpenzeel,1.0
Tiel,281,281,Tiel,1.0
Voorst,285,285,Voorst,1.0
Wageningen,289,289,Wageningen,1.0
Winterswijk,294,294,Winterswijk,1.0
Wijchen,296,296,Wijchen,1.0
Zaltbommel,297,297,Zaltbommel,1.0
Zevenaar,299,299,Zevenaar,1.0
Nunspeet,302,302,Nunspeet,1.0
Dronten,303,303,Dronten,1.0
Neerijnen,304,1960,West Betuwe,0.2463551028560016
Amersfoort,307,307,Amersfoort,1.0
Baarn,308,308,Baarn,1.0
De Bilt,310,310,De Bilt,1.0
Bunnik,312,312,Bunnik,1.0
Eemnes,317,317,Eemnes,1.0
Houten,321,321,Houten,1.0
Leusden,327,327,Leusden,1.0
Lopik,331,331,Lopik,1.0
Montfoort,335,335,Montfoort,1.0
Renswoude,339,339,Renswoude,1.0
Steenwijkerland,1708,1708,Steenwijkerland,1.0
Rhenen,340,340,Rhenen,1.0
Soest,342,342,Soest,1.0
Utrecht,344,344,Utrecht,1.0
Veenendaal,345,345,Veenendaal,1.0
Woudenberg,351,351,Woudenberg,1.0
Cranendonck,1706,1706,Cranendonck,1.0
Moerdijk,1709,1709,Moerdijk,1.0
Echt-Susteren,1711,1711,Echt-Susteren,1.0
Sluis,1714,1714,Sluis,1.0
Drimmelen,1719,1719,Drimmelen,1.0
Wijk bij Duurstede,352,352,Wijk bij Duurstede,1.0
IJsselstein,353,353,IJsselstein,1.0
Zeist,355,355,Zeist,1.0
Nieuwegein,356,356,Nieuwegein,1.0
Aalsmeer,358,358,Aalsmeer,1.0
Alkmaar,361,361,Alkmaar,1.0
Blaricum,376,376,Blaricum,1.0
Amstelveen,362,362,Amstelveen,1.0
Amsterdam,363,363,Amsterdam,1.0
Beemster,370,370,Beemster,1.0
Bergen (NH.),373,373,Bergen (NH.),1.0
Beverwijk,375,375,Beverwijk,1.0
Bladel,1728,1728,Bladel,1.0
Gulpen-Wittem,1729,1729,Gulpen-Wittem,1.0
Tynaarlo,1730,1730,Tynaarlo,1.0
Eijsden-Margraten,1903,1903,Eijsden-Margraten,1.0
Stichtse Vecht,1904,1904,Stichtse Vecht,1.0
Midden-Drenthe,1731,1731,Midden-Drenthe,1.0
Overbetuwe,1734,1734,Overbetuwe,1.0
Hof van Twente,1735,1735,Hof van Twente,1.0
Neder-Betuwe,1740,1740,Neder-Betuwe,1.0
Geldrop-Mierlo,1771,1771,Geldrop-Mierlo,1.0
Olst-Wijhe,1773,1773,Olst-Wijhe,1.0
Dinkelland,1774,1774,Dinkelland,1.0
Bloemendaal,377,377,Bloemendaal,1.0
Goeree-Overflakkee,1924,1924,Goeree-Overflakkee,1.0
Castricum,383,383,Castricum,1.0
Edam-Volendam,385,385,Edam-Volendam,1.0
Enkhuizen,388,388,Enkhuizen,1.0
Haarlem,392,392,Haarlem,1.0
Haarlemmermeer,394,394,Haarlemmermeer,0.9626454782235996
Heemskerk,396,396,Heemskerk,1.0
Heerhugowaard,398,398,Heerhugowaard,1.0
Hoorn,405,405,Hoorn,1.0
Heiloo,399,399,Heiloo,1.0
Den Helder,400,400,Den Helder,1.0
Hilversum,402,402,Hilversum,1.0
Papendrecht,590,590,Papendrecht,1.0
Huizen,406,406,Huizen,1.0
Landsmeer,415,415,Landsmeer,1.0
Langedijk,416,416,Langedijk,1.0
Laren,417,417,Laren,1.0
Purmerend,439,439,Purmerend,1.0
Medemblik,420,420,Medemblik,1.0
Oostzaan,431,431,Oostzaan,1.0
Opmeer,432,432,Opmeer,1.0
Ouder-Amstel,437,437,Ouder-Amstel,1.0
Schagen,441,441,Schagen,1.0
Texel,448,448,Texel,1.0
Uitgeest,450,450,Uitgeest,1.0
Uithoorn,451,451,Uithoorn,1.0
Velsen,453,453,Velsen,1.0
Krimpenerwaard,1931,1931,Krimpenerwaard,1.0
De Fryske Marren,1940,1940,De Fryske Marren,1.0
Midden-Groningen,1952,1952,Midden-Groningen,1.0
Weesp,457,457,Weesp,1.0
Zandvoort,473,473,Zandvoort,1.0
Barendrecht,489,489,Barendrecht,1.0
Zaanstad,479,479,Zaanstad,1.0
Alblasserdam,482,482,Alblasserdam,1.0
Nissewaard,1930,1930,Nissewaard,1.0
Montferland,1955,1955,Montferland,1.0
Drechterland,498,498,Drechterland,1.0
Alphen aan den Rijn,484,484,Alphen aan den Rijn,1.0
Brielle,501,501,Brielle,1.0
Capelle aan den IJssel,502,502,Capelle aan den IJssel,1.0
Delft,503,503,Delft,1.0
Dordrecht,505,505,Dordrecht,1.0
Gorinchem,512,512,Gorinchem,1.0
Gouda,513,513,Gouda,1.0
's-Gravenhage,518,518,'s-Gravenhage,1.0
Hardinxveld-Giessendam,523,523,Hardinxveld-Giessendam,1.0
Hillegom,534,534,Hillegom,1.0
Hellevoetsluis,530,530,Hellevoetsluis,1.0
Hendrik-Ido-Ambacht,531,531,Hendrik-Ido-Ambacht,1.0
Stede Broec,532,532,Stede Broec,1.0
Katwijk,537,537,Katwijk,1.0
Krimpen aan den IJssel,542,542,Krimpen aan den IJssel,1.0
Leerdam,545,1961,Vijfheerenlanden,0.3837679030481087
Leiden,546,546,Leiden,1.0
Leiderdorp,547,547,Leiderdorp,1.0
Lisse,553,553,Lisse,1.0
Maassluis,556,556,Maassluis,1.0
Nieuwkoop,569,569,Nieuwkoop,1.0
Noordwijk,575,575,Noordwijk,0.6129032258064516
Noordwijkerhout,576,575,Noordwijk,0.3870967741935484
Oegstgeest,579,579,Oegstgeest,1.0
Oud-Beijerland,584,1963,Hoeksche Waard,0.2803361933111539
Binnenmaas,585,1963,Hoeksche Waard,0.33987042549465946
Korendijk,588,1963,Hoeksche Waard,0.12788186540594176
Oudewater,589,589,Oudewater,1.0
Rijswijk,603,603,Rijswijk,1.0
Ridderkerk,597,597,Ridderkerk,1.0
Rotterdam,599,599,Rotterdam,1.0
Schiedam,606,606,Schiedam,1.0
Sliedrecht,610,610,Sliedrecht,1.0
Albrandswaard,613,613,Albrandswaard,1.0
Westvoorne,614,614,Westvoorne,1.0
Strijen,617,1963,Hoeksche Waard,0.10255063328080313
Zwijndrecht,642,642,Zwijndrecht,1.0
Vianen,620,1961,Vijfheerenlanden,0.3621006243114212
Vlaardingen,622,622,Vlaardingen,1.0
Voorschoten,626,626,Voorschoten,1.0
Waddinxveen,627,627,Waddinxveen,1.0
Wassenaar,629,629,Wassenaar,1.0
Woerden,632,632,Woerden,1.0
Zoetermeer,637,637,Zoetermeer,1.0
Zoeterwoude,638,638,Zoeterwoude,1.0
Borsele,654,654,Borsele,1.0
Goes,664,664,Goes,1.0
Kapelle,678,678,Kapelle,1.0
West Maas en Waal,668,668,West Maas en Waal,1.0
Hulst,677,677,Hulst,1.0
Reimerswaal,703,703,Reimerswaal,1.0
Tholen,716,716,Tholen,1.0
Middelburg,687,687,Middelburg,1.0
Giessenlanden,689,1978,Molenlanden,0.333104944615736
Zederik,707,1961,Vijfheerenlanden,0.2541314726404701
Terneuzen,715,715,Terneuzen,1.0
Pekela,765,765,Pekela,1.0
Reusel-De Mierden,1667,1667,Reusel-De Mierden,1.0
Roerdalen,1669,1669,Roerdalen,1.0
Roosendaal,1674,1674,Roosendaal,1.0
Veere,717,717,Veere,1.0
Vlissingen,718,718,Vlissingen,1.0
Maasgouw,1641,1641,Maasgouw,1.0
Eemsmond,1651,1966,Het Hogeland,0.3143574297188755
Gemert-Bakel,1652,1652,Gemert-Bakel,1.0
Halderberge,1655,1655,Halderberge,1.0
Lingewaal,733,1960,West Betuwe,0.22278809666466945
De Ronde Venen,736,736,De Ronde Venen,1.0
Tytsjerksteradiel,737,737,Tytsjerksteradiel,1.0
Aalburg,738,1959,Altena,0.2400624254108143
Asten,743,743,Asten,1.0
Baarle-Nassau,744,744,Baarle-Nassau,1.0
Bergen op Zoom,748,748,Bergen op Zoom,1.0
Best,753,753,Best,1.0
Boekel,755,755,Boekel,1.0
Boxmeer,756,756,Boxmeer,1.0
Boxtel,757,757,Boxtel,1.0
Breda,758,758,Breda,1.0
Deurne,762,762,Deurne,1.0
Dongen,766,766,Dongen,1.0
Eersel,770,770,Eersel,1.0
Eindhoven,772,772,Eindhoven,1.0
Etten-Leur,777,777,Etten-Leur,1.0
Schouwen-Duiveland,1676,1676,Schouwen-Duiveland,1.0
Aa en Hunze,1680,1680,Aa en Hunze,1.0
Geertruidenberg,779,779,Geertruidenberg,1.0
Gilze en Rijen,784,784,Gilze en Rijen,1.0
Goirle,785,785,Goirle,1.0
Grave,786,786,Grave,1.0
Haaren,788,788,Haaren,1.0
Helmond,794,794,Helmond,1.0
's-Hertogenbosch,796,796,'s-Hertogenbosch,1.0
Heusden,797,797,Heusden,1.0
Hilvarenbeek,798,798,Hilvarenbeek,1.0
Loon op Zand,809,809,Loon op Zand,1.0
Sint-Michielsgestel,845,845,Sint-Michielsgestel,1.0
Mill en Sint Hubert,815,815,Mill en Sint Hubert,1.0
"Nuenen, Gerwen en Nederwetten",820,820,"Nuenen, Gerwen en Nederwetten",1.0
Oirschot,823,823,Oirschot,1.0
Oisterwijk,824,824,Oisterwijk,1.0
Oosterhout,826,826,Oosterhout,1.0
Oss,828,828,Oss,1.0
Rucphen,840,840,Rucphen,1.0
Someren,847,847,Someren,1.0
Son en Breugel,848,848,Son en Breugel,1.0
Nederweert,946,946,Nederweert,1.0
Borger-Odoorn,1681,1681,Borger-Odoorn,1.0
Steenbergen,851,851,Steenbergen,1.0
Waterland,852,852,Waterland,1.0
Tilburg,855,855,Tilburg,1.0
Uden,856,856,Uden,1.0
Valkenswaard,858,858,Valkenswaard,1.0
Cuijk,1684,1684,Cuijk,1.0
Veldhoven,861,861,Veldhoven,1.0
Vught,865,865,Vught,1.0
Landerd,1685,1685,Landerd,1.0
De Wolden,1690,1690,De Wolden,1.0
Lansingerland,1621,1621,Lansingerland,1.0
Leudal,1640,1640,Leudal,1.0
Noord-Beveland,1695,1695,Noord-Beveland,1.0
Wijdemeren,1696,1696,Wijdemeren,1.0
Noordenveld,1699,1699,Noordenveld,1.0
Twenterand,1700,1700,Twenterand,1.0
Westerveld,1701,1701,Westerveld,1.0
Waalre,866,866,Waalre,1.0
Sint Anthonis,1702,1702,Sint Anthonis,1.0
Waalwijk,867,867,Waalwijk,1.0
Werkendam,870,1959,Altena,0.4928853392086661
Woensdrecht,873,873,Woensdrecht,1.0
Woudrichem,874,1959,Altena,0.2670522353805196
Zundert,879,879,Zundert,1.0
Onderbanken,881,1954,Beekdaelen,0.21746954595791806
Wormerland,880,880,Wormerland,1.0
Brunssum,899,899,Brunssum,1.0
Landgraaf,882,882,Landgraaf,1.0
Beek,888,888,Beek,1.0
Mook en Middelaar,944,944,Mook en Middelaar,1.0
Beesel,889,889,Beesel,1.0
Bergen (L.),893,893,Bergen (L.),1.0
Gennep,907,907,Gennep,1.0
Heerlen,917,917,Heerlen,1.0
Kerkrade,928,928,Kerkrade,1.0
