"","gem_id_2018","gem_id_20192020"
"1",3,3
"2",5,1966
"3",9,14
"4",10,10
"5",14,14
"6",15,1969
"7",17,14
"8",22,1969
"9",24,24
"10",25,1969
"11",34,34
"12",37,37
"13",47,47
"14",50,50
"15",53,1966
"16",56,1969
"17",58,1970
"18",59,59
"19",60,60
"20",72,72
"21",74,74
"22",79,1970
"23",80,80
"24",85,85
"25",86,86
"26",88,88
"27",90,90
"28",93,93
"29",96,96
"30",98,98
"31",106,106
"32",109,109
"33",114,114
"34",118,118
"35",119,119
"36",141,141
"37",147,147
"38",148,148
"39",150,150
"40",153,153
"41",158,158
"42",160,160
"43",163,163
"44",164,164
"45",166,166
"46",168,168
"47",171,171
"48",173,173
"49",175,175
"50",177,177
"51",180,180
"52",183,183
"53",184,184
"54",189,189
"55",193,193
"56",197,197
"57",200,200
"58",202,202
"59",203,203
"60",209,209
"61",213,213
"62",214,214
"63",216,216
"64",221,221
"65",222,222
"66",225,225
"67",226,226
"68",228,228
"69",230,230
"70",232,232
"71",233,233
"72",236,1960
"73",243,243
"74",244,244
"75",246,246
"76",252,252
"77",262,262
"78",263,263
"79",267,267
"80",268,268
"81",269,269
"82",273,273
"83",274,274
"84",275,275
"85",277,277
"86",279,279
"87",281,281
"88",285,285
"89",289,289
"90",293,293
"91",294,294
"92",296,296
"93",297,297
"94",299,299
"95",301,301
"96",302,302
"97",303,303
"98",304,1960
"99",307,307
"100",308,308
"101",310,310
"102",312,312
"103",313,313
"104",317,317
"105",321,321
"106",327,327
"107",331,331
"108",335,335
"109",339,339
"110",340,340
"111",342,342
"112",344,344
"113",345,345
"114",351,351
"115",352,352
"116",353,353
"117",355,355
"118",356,356
"119",358,358
"120",361,361
"121",362,362
"122",363,363
"123",370,370
"124",373,373
"125",375,375
"126",376,376
"127",377,377
"128",383,383
"129",384,384
"130",385,385
"131",388,388
"132",392,392
"133",393,394
"134",394,394
"135",396,396
"136",397,397
"137",398,398
"138",399,399
"139",400,400
"140",402,402
"141",405,405
"142",406,406
"143",415,415
"144",416,416
"145",417,417
"146",420,420
"147",431,431
"148",432,432
"149",437,437
"150",439,439
"151",441,441
"152",448,448
"153",450,450
"154",451,451
"155",453,453
"156",457,457
"157",473,473
"158",479,479
"159",482,482
"160",484,484
"161",489,489
"162",498,498
"163",501,501
"164",502,502
"165",503,503
"166",505,505
"167",512,512
"168",513,513
"169",518,518
"170",523,523
"171",530,530
"172",531,531
"173",532,532
"174",534,534
"175",537,537
"176",542,542
"177",545,1961
"178",546,546
"179",547,547
"180",553,553
"181",556,556
"182",569,569
"183",575,575
"184",576,575
"185",579,579
"186",584,1963
