name,gem_id,mobility_region,COVID2104_region,COVID2104_small_region,veiligheidsregio,mobility_veiligheidsregio
Appingedam,3,0,11,48,Groningen,6
Bedum,5,0,11,48,Groningen,6
Ten Boer,9,0,11,48,Groningen,6
Delfzijl,10,0,11,48,Groningen,6
Groningen,14,0,11,48,Groningen,6
Grootegast,15,0,11,48,Groningen,6
Stein,971,1,4,60,Limburg-Zuid,2
Vaals,981,1,4,7,Limburg-Zuid,2
Venlo,983,1,10,4,Limburg-Noord,2
Haren,17,0,11,48,Groningen,6
Leek,22,0,11,48,Groningen,6
Loppersum,24,0,11,48,Groningen,6
Marum,25,0,11,48,Groningen,6
Almere,34,2,3,27,Flevoland,19
Voerendaal,986,1,4,7,Limburg-Zuid,2
Stadskanaal,37,0,11,48,Groningen,6
Veendam,47,0,11,48,Groningen,6
Zeewolde,50,3,7,14,Flevoland,19
Winsum,53,0,11,48,Groningen,6
Zuidhorn,56,0,11,48,Groningen,6
Dongeradeel,58,0,11,16,Fryslân,6
Achtkarspelen,59,0,11,16,Fryslân,6
Ameland,60,0,11,16,Fryslân,6
Valkenburg aan de Geul,994,1,4,72,Limburg-Zuid,2
Arnhem,202,4,8,55,Gelderland-Midden,12
Harlingen,72,0,11,16,Fryslân,6
Heerenveen,74,0,11,16,Fryslân,6
Kollumerland en Nieuwkruisland,79,0,11,16,Fryslân,6
Leeuwarden,80,0,11,16,Fryslân,6
Ooststellingwerf,85,0,11,16,Fryslân,6
Opsterland,86,0,11,16,Fryslân,6
Schiermonnikoog,88,0,11,16,Fryslân,6
Smallingerland,90,0,11,16,Fryslân,6
Terschelling,93,0,11,16,Fryslân,6
Vlieland,96,2,9,40,Fryslân,6
Weststellingwerf,98,0,11,16,Fryslân,6
Assen,106,0,11,48,Drenthe,6
Coevorden,109,0,11,8,Drenthe,6
Emmen,114,0,11,8,Drenthe,6
Hoogeveen,118,3,11,78,Drenthe,6
Meppel,119,3,6,78,Drenthe,6
Almelo,141,5,6,44,Twente,8
Borne,147,5,6,32,Twente,8
Dalfsen,148,3,6,31,IJsselland,12
Deventer,150,3,6,13,IJsselland,12
Cromstrijen,611,6,5,53,Zuid-Holland-Zuid,21
Enschede,153,5,6,32,Twente,8
Barneveld,203,7,7,25,Gelderland-Midden,12
Haaksbergen,158,5,6,32,Twente,8
Hardenberg,160,3,6,31,IJsselland,12
Hellendoorn,163,5,6,44,Twente,8
Heemstede,397,2,3,24,Kennemerland,11
Diemen,384,2,3,73,Amsterdam-Amstelland,11
Hengelo,164,5,6,32,Twente,8
Harderwijk,243,3,7,14,Noord- en Oost-Gelderland,12
Kampen,166,3,6,59,IJsselland,12
Losser,168,5,6,32,Twente,8
Noordoostpolder,171,3,6,10,Flevoland,19
Haarlemmerliede en Spaarnwoude,393,2,3,24,Kennemerland,11
Oldenzaal,173,5,6,32,Twente,8
Ommen,175,3,6,31,IJsselland,12
Raalte,177,3,6,13,IJsselland,12
Staphorst,180,3,6,78,IJsselland,12
Tubbergen,183,5,6,44,Twente,8
Urk,184,3,6,10,Flevoland,19
Weert,988,8,10,51,Limburg-Noord,2
Wierden,189,5,6,44,Twente,8
Zwolle,193,3,6,42,IJsselland,12
Aalten,197,4,8,45,Noord- en Oost-Gelderland,12
Apeldoorn,200,3,6,17,Noord- en Oost-Gelderland,12
Beuningen,209,4,8,52,Gelderland-Zuid,24
Brummen,213,3,6,39,Noord- en Oost-Gelderland,12
Buren,214,7,7,54,Gelderland-Zuid,24
Culemborg,216,7,7,54,Gelderland-Zuid,24
Doesburg,221,4,8,55,Gelderland-Midden,12
Doetinchem,222,4,8,45,Noord- en Oost-Gelderland,12
Druten,225,4,8,49,Gelderland-Zuid,24
Lelystad,995,3,3,30,Flevoland,19
Horst aan de Maas,1507,1,10,4,Limburg-Noord,2
Oude IJsselstreek,1509,4,8,45,Noord- en Oost-Gelderland,12
Utrechtse Heuvelrug,1581,7,7,41,Utrecht,14
Oost Gelre,1586,4,8,45,Noord- en Oost-Gelderland,12
Koggenland,1598,9,3,20,Noord-Holland-Noord,11
Hattem,244,3,6,42,Noord- en Oost-Gelderland,12
Duiven,226,4,8,55,Gelderland-Midden,12
Ede,228,7,7,25,Gelderland-Midden,12
Elburg,230,3,6,75,Noord- en Oost-Gelderland,12
Rozendaal,277,4,8,55,Gelderland-Midden,12
Epe,232,3,6,17,Noord- en Oost-Gelderland,12
Ermelo,233,3,7,14,Noord- en Oost-Gelderland,12
Geldermalsen,236,7,7,54,Gelderland-Zuid,24
Westervoort,293,4,8,55,Gelderland-Midden,12
Heerde,246,3,6,71,Noord- en Oost-Gelderland,12
Heumen,252,4,8,52,Gelderland-Zuid,24
Lochem,262,3,6,39,Noord- en Oost-Gelderland,12
Zutphen,301,3,6,39,Noord- en Oost-Gelderland,12
Maasdriel,263,8,0,65,Gelderland-Zuid,24
Nijkerk,267,7,7,79,Gelderland-Midden,12
Nijmegen,268,4,8,52,Gelderland-Zuid,24
Oldebroek,269,3,6,75,Noord- en Oost-Gelderland,12
Putten,273,3,7,14,Noord- en Oost-Gelderland,12
Renkum,274,4,8,55,Gelderland-Midden,12
Rheden,275,4,8,55,Gelderland-Midden,12
