item,cluster
Appingedam,0
Bedum,0
Ten Boer,0
Delfzijl,0
Groningen,0
Grootegast,1
Stein,2
Vaals,2
Venlo,3
Haren,0
Leek,1
Loppersum,0
Marum,1
Almere,4
Voerendaal,2
Stadskanaal,5
Veendam,5
Zeewolde,6
Winsum,0
Zuidhorn,1
Dongeradeel,7
Achtkarspelen,7
Ameland,7
Valkenburg aan de Geul,2
Arnhem,8
Harlingen,9
Heerenveen,10
Kollumerland en Nieuwkruisland,7
Leeuwarden,9
Ooststellingwerf,10
Opsterland,10
Schiermonnikoog,7
Smallingerland,10
Terschelling,9
Vlieland,11
Weststellingwerf,10
Assen,12
Coevorden,5
Emmen,5
Hoogeveen,13
Meppel,13
Almelo,14
Borne,15
Dalfsen,16
Deventer,17
Cromstrijen,18
Enschede,15
Barneveld,19
Haaksbergen,15
Hardenberg,16
Hellendoorn,14
Heemstede,20
Diemen,21
Hengelo,15
Harderwijk,6
Kampen,22
Losser,15
Noordoostpolder,23
Haarlemmerliede en Spaarnwoude,20
Oldenzaal,15
Ommen,16
Raalte,17
Staphorst,13
Tubbergen,14
Urk,23
Weert,24
Wierden,14
Zwolle,22
Aalten,25
Apeldoorn,26
Beuningen,27
Brummen,28
Buren,29
Culemborg,29
Doesburg,30
Doetinchem,25
Druten,27
Lelystad,23
Horst aan de Maas,3
Oude IJsselstreek,25
Utrechtse Heuvelrug,31
Oost Gelre,25
Koggenland,32
Hattem,22
Duiven,30
Ede,19
Elburg,22
Rozendaal,8
Epe,26
Ermelo,6
Geldermalsen,29
Westervoort,30
Heerde,22
Heumen,27
Lochem,28
Zutphen,28
Maasdriel,33
Nijkerk,34
Nijmegen,27
Oldebroek,22
Putten,6
Renkum,8
Rheden,8
Bunschoten,34
Scherpenzeel,19
Tiel,29
Voorst,26
Wageningen,19
Winterswijk,25
Wijchen,27
Zaltbommel,33
Zevenaar,30
Nunspeet,6
Dronten,23
Neerijnen,29
Amersfoort,34
Baarn,35
De Bilt,36
Bunnik,37
Eemnes,38
Houten,37
Leusden,34
Lopik,39
Montfoort,40
Renswoude,19
Steenwijkerland,13
Rhenen,19
Soest,35
Utrecht,41
Veenendaal,19
Woudenberg,31
Cranendonck,24
Moerdijk,42
Echt-Susteren,43
Sluis,44
Drimmelen,45
Wijk bij Duurstede,31
IJsselstein,39
Zeist,36
Nieuwegein,39
Aalsmeer,46
Alkmaar,47
Blaricum,38
Amstelveen,46
Amsterdam,11
Beemster,48
Bergen (NH.),47
Beverwijk,49
Bladel,50
Gulpen-Wittem,2
Tynaarlo,12
Eijsden-Margraten,2
Stichtse Vecht,51
Midden-Drenthe,12
Overbetuwe,8
Hof van Twente,15
Neder-Betuwe,29
Geldrop-Mierlo,52
Olst-Wijhe,17
Dinkelland,15
Bloemendaal,20
Goeree-Overflakkee,53
Castricum,49
Edam-Volendam,48
Enkhuizen,32
Haarlem,20
Haarlemmermeer,54
Heemskerk,49
Heerhugowaard,47
Hoorn,32
Heiloo,47
Den Helder,55
Hilversum,38
Papendrecht,56
Huizen,38
Landsmeer,48
Langedijk,47
Laren,38
Purmerend,48
Medemblik,32
Oostzaan,57
Opmeer,32
Ouder-Amstel,58
Schagen,55
Texel,55
Uitgeest,49
Uithoorn,46
Velsen,20
Krimpenerwaard,59
De Fryske Marren,9
Midden-Groningen,0
Weesp,60
Zandvoort,20
Barendrecht,61
Zaanstad,57
Alblasserdam,56
Nissewaard,53
Montferland,25
Drechterland,32
Alphen aan den Rijn,62
Brielle,53
Capelle aan den IJssel,63
Delft,64
Dordrecht,56
Gorinchem,65
Gouda,59
's-Gravenhage,66
Hardinxveld-Giessendam,65
Hillegom,67
Hellevoetsluis,53
Hendrik-Ido-Ambacht,68
Stede Broec,32
Katwijk,67
Krimpen aan den IJssel,63
Leerdam,65
Leiden,69
Leiderdorp,69
Lisse,67
Maassluis,70
Nieuwkoop,62
Noordwijk,67
Noordwijkerhout,67
Oegstgeest,67
Oud-Beijerland,18
Binnenmaas,18
Korendijk,18
Oudewater,40
Rijswijk,66
Ridderkerk,68
Rotterdam,71
Schiedam,72
Sliedrecht,56
Albrandswaard,61
Westvoorne,53
Strijen,18
Zwijndrecht,68
Vianen,39
Vlaardingen,72
Voorschoten,69
Waddinxveen,59
Wassenaar,73
Woerden,40
Zoetermeer,74
Zoeterwoude,69
Borsele,44
Goes,44
Kapelle,44
West Maas en Waal,29
Hulst,44
Reimerswaal,44
Tholen,42
Middelburg,44
Giessenlanden,65
Zederik,65
Terneuzen,44
Pekela,5
Reusel-De Mierden,50
Roerdalen,43
Roosendaal,42
Veere,44
Vlissingen,44
Maasgouw,43
Eemsmond,0
Gemert-Bakel,75
Halderberge,42
Lingewaal,65
De Ronde Venen,51
Tytsjerksteradiel,7
Aalburg,33
Asten,75
Baarle-Nassau,76
Bergen op Zoom,42
Best,77
Boekel,78
Boxmeer,79
Boxtel,80
Breda,45
Deurne,75
Dongen,76
Eersel,50
Eindhoven,52
Etten-Leur,42
Schouwen-Duiveland,44
Aa en Hunze,12
Geertruidenberg,45
Gilze en Rijen,76
Goirle,76
Grave,27
Haaren,80
Helmond,75
's-Hertogenbosch,80
Heusden,81
Hilvarenbeek,76
Loon op Zand,81
Sint-Michielsgestel,80
Mill en Sint Hubert,79
"Nuenen, Gerwen en Nederwetten",52
Oirschot,77
Oisterwijk,76
Oosterhout,45
Oss,78
Rucphen,42
Someren,75
Son en Breugel,52
Nederweert,24
Borger-Odoorn,5
Steenbergen,42
Waterland,48
Tilburg,76
Uden,78
Valkenswaard,50
Cuijk,79
Veldhoven,52
Vught,80
Landerd,78
De Wolden,13
Lansingerland,82
Leudal,43
Noord-Beveland,44
Wijdemeren,38
Noordenveld,1
Twenterand,14
Westerveld,13
Waalre,52
Sint Anthonis,79
Waalwijk,81
Werkendam,65
Woensdrecht,42
Woudrichem,65
Zundert,42
Onderbanken,2
Wormerland,57
Brunssum,2
Landgraaf,2
Beek,2
Mook en Middelaar,79
Beesel,3
Bergen (L.),79
Gennep,79
Heerlen,2
Kerkrade,2
Maastricht,2
Meerssen,2
Nuth,2
Roermond,43
Schinnen,2
Simpelveld,2
Venray,3
Teylingen,67
Heeze-Leende,24
Laarbeek,75
De Marne,0
Lingewaard,8
Bernheze,78
Ferwerderadiel,7
Alphen-Chaam,76
Bergeijk,50
Rijssen-Holten,14
Westland,70
Midden-Delfland,70
Berkelland,25
Bronckhorst,25
Sittard-Geleen,2
Kaag en Braassem,62
Dantumadiel,7
Zuidplas,59
Peel en Maas,3
Oldambt,5
Zwartewaterland,22
Súdwest-Fryslân,9
Bodegraven-Reeuwijk,40
Hollands Kroon,55
Leidschendam-Voorburg,83
Pijnacker-Nootdorp,64
Molenwaard,56
Gooise Meren,38
Berg en Dal,27
Meierijstad,78
Waadhoeke,9
Westerwolde,5
