item,cluster
Appingedam,0
Bedum,0
Ten Boer,0
Delfzijl,0
Groningen,0
Grootegast,0
Stein,1
Vaals,1
Venlo,2
Haren,0
Leek,0
Loppersum,0
Marum,0
Almere,3
Voerendaal,1
Stadskanaal,0
Veendam,0
Zeewolde,0
Winsum,0
Zuidhorn,0
Dongeradeel,0
Achtkarspelen,0
Ameland,0
Valkenburg aan de Geul,1
Arnhem,4
Harlingen,0
Heerenveen,0
Kollumerland en Nieuwkruisland,0
Leeuwarden,0
Ooststellingwerf,0
Opsterland,0
Schiermonnikoog,0
Smallingerland,0
Terschelling,0
Vlieland,5
Weststellingwerf,0
Assen,0
Coevorden,0
Emmen,0
Hoogeveen,0
Meppel,0
Almelo,0
Borne,0
Dalfsen,0
Deventer,6
Cromstrijen,7
Enschede,0
Barneveld,8
Haaksbergen,0
Hardenberg,0
Hellendoorn,0
Heemstede,3
Diemen,3
Hengelo,0
Harderwijk,0
Kampen,0
Losser,0
Noordoostpolder,0
Haarlemmerliede en Spaarnwoude,3
Oldenzaal,0
Ommen,0
Raalte,0
Staphorst,0
Tubbergen,0
Urk,0
Weert,9
Wierden,0
Zwolle,0
Aalten,0
Apeldoorn,6
Beuningen,10
Brummen,0
Buren,11
Culemborg,12
Doesburg,4
Doetinchem,0
Druten,13
Lelystad,0
Horst aan de Maas,2
Oude IJsselstreek,0
Utrechtse Heuvelrug,12
Oost Gelre,0
Koggenland,3
Hattem,0
Duiven,4
Ede,8
Elburg,0
Rozendaal,4
Epe,0
Ermelo,0
Geldermalsen,11
Westervoort,4
Heerde,0
Heumen,14
Lochem,0
Zutphen,0
Maasdriel,15
Nijkerk,16
Nijmegen,17
Oldebroek,0
Putten,0
Renkum,4
Rheden,4
Bunschoten,16
Scherpenzeel,8
Tiel,11
Voorst,6
Wageningen,8
Winterswijk,0
Wijchen,18
Zaltbommel,15
Zevenaar,4
Nunspeet,0
Dronten,0
Neerijnen,11
Amersfoort,16
Baarn,16
De Bilt,12
Bunnik,12
Eemnes,3
Houten,12
Leusden,16
Lopik,12
Montfoort,12
Renswoude,8
Steenwijkerland,0
Rhenen,8
Soest,16
Utrecht,12
Veenendaal,8
Woudenberg,8
Cranendonck,9
Moerdijk,19
Echt-Susteren,1
Sluis,19
Drimmelen,19
Wijk bij Duurstede,12
IJsselstein,12
Zeist,12
Nieuwegein,12
Aalsmeer,3
Alkmaar,3
Blaricum,3
Amstelveen,3
Amsterdam,3
Beemster,3
Bergen (NH.),3
Beverwijk,3
Bladel,20
Gulpen-Wittem,1
Tynaarlo,0
Eijsden-Margraten,1
Stichtse Vecht,12
Midden-Drenthe,0
Overbetuwe,21
Hof van Twente,0
Neder-Betuwe,11
Geldrop-Mierlo,22
Olst-Wijhe,0
Dinkelland,0
Bloemendaal,3
Goeree-Overflakkee,7
Castricum,3
Edam-Volendam,3
Enkhuizen,3
Haarlem,3
Haarlemmermeer,3
Heemskerk,3
Heerhugowaard,3
Hoorn,3
Heiloo,3
Den Helder,3
Hilversum,3
Papendrecht,7
Huizen,3
Landsmeer,3
Langedijk,3
Laren,3
Purmerend,3
Medemblik,3
Oostzaan,3
Opmeer,3
Ouder-Amstel,3
Schagen,3
Texel,3
Uitgeest,3
Uithoorn,3
Velsen,3
Krimpenerwaard,7
De Fryske Marren,0
Midden-Groningen,0
Weesp,3
Zandvoort,3
Barendrecht,7
Zaanstad,3
Alblasserdam,7
Nissewaard,7
Montferland,0
Drechterland,3
Alphen aan den Rijn,23
Brielle,7
Capelle aan den IJssel,7
Delft,23
Dordrecht,7
Gorinchem,7
Gouda,7
's-Gravenhage,23
Hardinxveld-Giessendam,7
Hillegom,3
Hellevoetsluis,7
Hendrik-Ido-Ambacht,7
Stede Broec,3
Katwijk,23
Krimpen aan den IJssel,7
Leerdam,7
Leiden,23
Leiderdorp,23
Lisse,23
Maassluis,7
Nieuwkoop,23
Noordwijk,23
Noordwijkerhout,23
Oegstgeest,23
Oud-Beijerland,7
Binnenmaas,7
Korendijk,7
Oudewater,12
Rijswijk,23
Ridderkerk,7
Rotterdam,7
Schiedam,7
Sliedrecht,7
Albrandswaard,7
Westvoorne,7
Strijen,7
Zwijndrecht,7
Vianen,12
Vlaardingen,7
Voorschoten,23
Waddinxveen,7
Wassenaar,23
Woerden,12
Zoetermeer,23
Zoeterwoude,23
Borsele,19
Goes,19
Kapelle,19
West Maas en Waal,13
Hulst,19
Reimerswaal,19
Tholen,19
Middelburg,19
Giessenlanden,7
Zederik,7
Terneuzen,19
Pekela,0
Reusel-De Mierden,20
Roerdalen,9
Roosendaal,19
Veere,19
Vlissingen,19
Maasgouw,9
Eemsmond,0
Gemert-Bakel,24
Halderberge,19
Lingewaal,7
De Ronde Venen,3
Tytsjerksteradiel,0
Aalburg,15
Asten,25
Baarle-Nassau,19
Bergen op Zoom,19
Best,26
Boekel,27
Boxmeer,28
Boxtel,29
Breda,19
Deurne,25
Dongen,19
Eersel,20
Eindhoven,30
Etten-Leur,19
Schouwen-Duiveland,19
Aa en Hunze,0
Geertruidenberg,19
Gilze en Rijen,19
Goirle,31
Grave,32
Haaren,33
Helmond,34
's-Hertogenbosch,35
Heusden,36
Hilvarenbeek,31
Loon op Zand,37
Sint-Michielsgestel,38
Mill en Sint Hubert,39
"Nuenen, Gerwen en Nederwetten",40
Oirschot,41
Oisterwijk,33
Oosterhout,19
Oss,42
Rucphen,19
Someren,25
Son en Breugel,43
Nederweert,9
Borger-Odoorn,0
Steenbergen,19
Waterland,3
Tilburg,31
Uden,44
Valkenswaard,45
Cuijk,46
Veldhoven,47
Vught,48
Landerd,49
De Wolden,0
Lansingerland,7
Leudal,9
Noord-Beveland,19
Wijdemeren,3
Noordenveld,0
Twenterand,0
Westerveld,0
Waalre,45
Sint Anthonis,50
Waalwijk,37
Werkendam,7
Woensdrecht,19
Woudrichem,7
Zundert,19
Onderbanken,1
Wormerland,3
Brunssum,1
Landgraaf,1
Beek,1
Mook en Middelaar,14
Beesel,2
Bergen (L.),51
Gennep,52
Heerlen,1
Kerkrade,1
Maastricht,1
Meerssen,1
Nuth,1
Roermond,9
Schinnen,1
Simpelveld,1
Venray,53
Teylingen,23
Heeze-Leende,54
Laarbeek,55
De Marne,0
Lingewaard,56
Bernheze,57
Ferwerderadiel,0
Alphen-Chaam,19
Bergeijk,20
Rijssen-Holten,0
Westland,23
Midden-Delfland,23
Berkelland,0
Bronckhorst,0
Sittard-Geleen,1
Kaag en Braassem,58
Dantumadiel,0
Zuidplas,7
Peel en Maas,2
Oldambt,0
Zwartewaterland,0
Súdwest-Fryslân,0
Bodegraven-Reeuwijk,7
Hollands Kroon,3
Leidschendam-Voorburg,23
Pijnacker-Nootdorp,23
Molenwaard,7
Gooise Meren,3
Berg en Dal,59
Meierijstad,60
Waadhoeke,0
Westerwolde,0
