item,cluster
Appingedam,0
Bedum,0
Ten Boer,0
Delfzijl,0
Groningen,0
Grootegast,0
Stein,0
Vaals,0
Venlo,0
Haren,0
Leek,0
Loppersum,0
Marum,0
Almere,0
Voerendaal,0
Stadskanaal,0
Veendam,0
Zeewolde,0
Winsum,0
Zuidhorn,0
Dongeradeel,0
Achtkarspelen,0
Ameland,0
Valkenburg aan de Geul,0
Arnhem,0
Harlingen,0
Heerenveen,0
Kollumerland en Nieuwkruisland,0
Leeuwarden,0
Ooststellingwerf,0
Opsterland,0
Schiermonnikoog,0
Smallingerland,0
Terschelling,0
Vlieland,0
Weststellingwerf,0
Assen,0
Coevorden,0
Emmen,0
Hoogeveen,0
Meppel,0
Almelo,0
Borne,0
Dalfsen,0
Deventer,0
Cromstrijen,0
Enschede,0
Barneveld,0
Haaksbergen,0
Hardenberg,0
Hellendoorn,0
Heemstede,0
Diemen,0
Hengelo,0
Harderwijk,0
Kampen,0
Losser,0
Noordoostpolder,0
Haarlemmerliede en Spaarnwoude,0
Oldenzaal,0
Ommen,0
Raalte,0
Staphorst,0
Tubbergen,0
Urk,0
Weert,0
Wierden,0
Zwolle,0
Aalten,0
Apeldoorn,0
Beuningen,1
Brummen,0
Buren,1
Culemborg,1
Doesburg,0
Doetinchem,0
Druten,1
Lelystad,0
Horst aan de Maas,0
Oude IJsselstreek,0
Utrechtse Heuvelrug,0
Oost Gelre,0
Koggenland,0
Hattem,0
Duiven,0
Ede,0
Elburg,0
Rozendaal,0
Epe,0
Ermelo,0
Geldermalsen,1
Westervoort,0
Heerde,0
Heumen,1
Lochem,0
Zutphen,0
Maasdriel,1
Nijkerk,0
Nijmegen,1
Oldebroek,0
Putten,0
Renkum,0
Rheden,0
Bunschoten,0
Scherpenzeel,0
Tiel,1
Voorst,0
Wageningen,0
Winterswijk,0
Wijchen,1
Zaltbommel,1
Zevenaar,0
Nunspeet,0
Dronten,0
Neerijnen,1
Amersfoort,0
Baarn,0
De Bilt,0
Bunnik,0
Eemnes,0
Houten,0
Leusden,0
Lopik,0
Montfoort,0
Renswoude,0
Steenwijkerland,0
Rhenen,0
Soest,0
Utrecht,0
Veenendaal,0
Woudenberg,0
Cranendonck,2
Moerdijk,0
Echt-Susteren,0
Sluis,0
Drimmelen,0
Wijk bij Duurstede,0
IJsselstein,0
Zeist,0
Nieuwegein,0
Aalsmeer,0
Alkmaar,0
Blaricum,0
Amstelveen,0
Amsterdam,0
Beemster,0
Bergen (NH.),0
Beverwijk,0
Bladel,2
Gulpen-Wittem,0
Tynaarlo,0
Eijsden-Margraten,0
Stichtse Vecht,0
Midden-Drenthe,0
Overbetuwe,0
Hof van Twente,0
Neder-Betuwe,1
Geldrop-Mierlo,2
Olst-Wijhe,0
Dinkelland,0
Bloemendaal,0
Goeree-Overflakkee,0
Castricum,0
Edam-Volendam,0
Enkhuizen,0
Haarlem,0
Haarlemmermeer,0
Heemskerk,0
Heerhugowaard,0
Hoorn,0
Heiloo,0
Den Helder,0
Hilversum,0
Papendrecht,0
Huizen,0
Landsmeer,0
Langedijk,0
Laren,0
Purmerend,0
Medemblik,0
Oostzaan,0
Opmeer,0
Ouder-Amstel,0
Schagen,0
Texel,0
Uitgeest,0
Uithoorn,0
Velsen,0
Krimpenerwaard,0
De Fryske Marren,0
Midden-Groningen,0
Weesp,0
Zandvoort,0
Barendrecht,0
Zaanstad,0
Alblasserdam,0
Nissewaard,0
Montferland,0
Drechterland,0
Alphen aan den Rijn,0
Brielle,0
Capelle aan den IJssel,0
Delft,0
Dordrecht,0
Gorinchem,0
Gouda,0
's-Gravenhage,0
Hardinxveld-Giessendam,0
Hillegom,0
Hellevoetsluis,0
Hendrik-Ido-Ambacht,0
Stede Broec,0
Katwijk,0
Krimpen aan den IJssel,0
Leerdam,0
Leiden,0
Leiderdorp,0
Lisse,0
Maassluis,0
Nieuwkoop,0
Noordwijk,0
Noordwijkerhout,0
Oegstgeest,0
Oud-Beijerland,0
Binnenmaas,0
Korendijk,0
Oudewater,0
Rijswijk,0
Ridderkerk,0
Rotterdam,0
Schiedam,0
Sliedrecht,0
Albrandswaard,0
Westvoorne,0
Strijen,0
Zwijndrecht,0
Vianen,0
Vlaardingen,0
Voorschoten,0
Waddinxveen,0
Wassenaar,0
Woerden,0
Zoetermeer,0
Zoeterwoude,0
Borsele,0
Goes,0
Kapelle,0
West Maas en Waal,1
Hulst,0
Reimerswaal,0
Tholen,0
Middelburg,0
Giessenlanden,0
Zederik,0
Terneuzen,0
Pekela,0
Reusel-De Mierden,2
Roerdalen,0
Roosendaal,0
Veere,0
Vlissingen,0
Maasgouw,0
Eemsmond,0
Gemert-Bakel,2
Halderberge,0
Lingewaal,1
De Ronde Venen,0
Tytsjerksteradiel,0
Aalburg,0
Asten,2
Baarle-Nassau,0
Bergen op Zoom,0
Best,2
Boekel,3
Boxmeer,3
Boxtel,3
Breda,0
Deurne,2
Dongen,0
Eersel,2
Eindhoven,2
Etten-Leur,0
Schouwen-Duiveland,0
Aa en Hunze,0
Geertruidenberg,0
Gilze en Rijen,0
Goirle,0
Grave,3
Haaren,3
Helmond,2
's-Hertogenbosch,3
Heusden,3
Hilvarenbeek,0
Loon op Zand,0
Sint-Michielsgestel,3
Mill en Sint Hubert,3
"Nuenen, Gerwen en Nederwetten",2
Oirschot,2
Oisterwijk,0
Oosterhout,0
Oss,3
Rucphen,0
Someren,2
Son en Breugel,2
Nederweert,0
Borger-Odoorn,0
Steenbergen,0
Waterland,0
Tilburg,0
Uden,3
Valkenswaard,2
Cuijk,3
Veldhoven,2
Vught,3
Landerd,3
De Wolden,0
Lansingerland,0
Leudal,0
Noord-Beveland,0
Wijdemeren,0
Noordenveld,0
Twenterand,0
Westerveld,0
Waalre,2
Sint Anthonis,3
Waalwijk,0
Werkendam,0
Woensdrecht,0
Woudrichem,0
Zundert,0
Onderbanken,0
Wormerland,0
Brunssum,0
Landgraaf,0
Beek,0
Mook en Middelaar,0
Beesel,0
Bergen (L.),0
Gennep,0
Heerlen,0
Kerkrade,0
Maastricht,0
Meerssen,0
Nuth,0
Roermond,0
Schinnen,0
Simpelveld,0
Venray,0
Teylingen,0
Heeze-Leende,2
Laarbeek,2
De Marne,0
Lingewaard,0
Bernheze,3
Ferwerderadiel,0
Alphen-Chaam,0
Bergeijk,2
Rijssen-Holten,0
Westland,0
Midden-Delfland,0
Berkelland,0
Bronckhorst,0
Sittard-Geleen,0
Kaag en Braassem,0
Dantumadiel,0
Zuidplas,0
Peel en Maas,0
Oldambt,0
Zwartewaterland,0
Súdwest-Fryslân,0
Bodegraven-Reeuwijk,0
Hollands Kroon,0
Leidschendam-Voorburg,0
Pijnacker-Nootdorp,0
Molenwaard,0
Gooise Meren,0
Berg en Dal,1
Meierijstad,3
Waadhoeke,0
Westerwolde,0
