item,cluster
Appingedam,0
Bedum,0
Ten Boer,0
Delfzijl,0
Groningen,0
Grootegast,0
Stein,1
Vaals,1
Venlo,2
Haren,0
Leek,0
Loppersum,0
Marum,0
Almere,3
Voerendaal,1
Stadskanaal,4
Veendam,4
Zeewolde,5
Winsum,0
Zuidhorn,0
Dongeradeel,6
Achtkarspelen,6
Ameland,6
Valkenburg aan de Geul,7
Arnhem,8
Harlingen,6
Heerenveen,9
Kollumerland en Nieuwkruisland,6
Leeuwarden,6
Ooststellingwerf,9
Opsterland,9
Schiermonnikoog,10
Smallingerland,9
Terschelling,10
Vlieland,10
Weststellingwerf,9
Assen,11
Coevorden,12
Emmen,12
Hoogeveen,13
Meppel,13
Almelo,14
Borne,15
Dalfsen,16
Deventer,17
Cromstrijen,18
Enschede,15
Barneveld,19
Haaksbergen,15
Hardenberg,16
Hellendoorn,14
Heemstede,20
Diemen,10
Hengelo,15
Harderwijk,5
Kampen,21
Losser,15
Noordoostpolder,10
Haarlemmerliede en Spaarnwoude,20
Oldenzaal,15
Ommen,16
Raalte,17
Staphorst,13
Tubbergen,14
Urk,10
Weert,22
Wierden,14
Zwolle,21
Aalten,23
Apeldoorn,10
Beuningen,24
Brummen,25
Buren,26
Culemborg,26
Doesburg,8
Doetinchem,23
Druten,26
Lelystad,3
Horst aan de Maas,2
Oude IJsselstreek,23
Utrechtse Heuvelrug,27
Oost Gelre,23
Koggenland,28
Hattem,21
Duiven,8
Ede,19
Elburg,21
Rozendaal,8
Epe,10
Ermelo,5
Geldermalsen,26
Westervoort,8
Heerde,21
Heumen,24
Lochem,25
Zutphen,25
Maasdriel,29
Nijkerk,30
Nijmegen,24
Oldebroek,21
Putten,5
Renkum,8
Rheden,8
Bunschoten,30
Scherpenzeel,19
Tiel,26
Voorst,17
Wageningen,19
Winterswijk,23
Wijchen,24
Zaltbommel,29
Zevenaar,8
Nunspeet,5
Dronten,3
Neerijnen,26
Amersfoort,30
Baarn,30
De Bilt,27
Bunnik,27
Eemnes,31
Houten,32
Leusden,30
Lopik,32
Montfoort,33
Renswoude,19
Steenwijkerland,13
Rhenen,26
Soest,30
Utrecht,34
Veenendaal,19
Woudenberg,27
Cranendonck,22
Moerdijk,35
Echt-Susteren,22
Sluis,10
Drimmelen,36
Wijk bij Duurstede,27
IJsselstein,32
Zeist,27
Nieuwegein,32
Aalsmeer,37
Alkmaar,38
Blaricum,31
Amstelveen,37
Amsterdam,10
Beemster,39
Bergen (NH.),38
Beverwijk,40
Bladel,41
Gulpen-Wittem,1
Tynaarlo,0
Eijsden-Margraten,7
Stichtse Vecht,42
Midden-Drenthe,11
Overbetuwe,8
Hof van Twente,15
Neder-Betuwe,26
Geldrop-Mierlo,43
Olst-Wijhe,17
Dinkelland,15
Bloemendaal,20
Goeree-Overflakkee,44
Castricum,40
Edam-Volendam,39
Enkhuizen,28
Haarlem,20
Haarlemmermeer,45
Heemskerk,40
Heerhugowaard,38
Hoorn,28
Heiloo,38
Den Helder,46
Hilversum,31
Papendrecht,47
Huizen,31
Landsmeer,39
Langedijk,38
Laren,31
Purmerend,39
Medemblik,28
Oostzaan,48
Opmeer,28
Ouder-Amstel,37
Schagen,46
Texel,46
Uitgeest,40
Uithoorn,37
Velsen,20
Krimpenerwaard,49
De Fryske Marren,9
Midden-Groningen,0
Weesp,31
Zandvoort,20
Barendrecht,50
Zaanstad,48
Alblasserdam,47
Nissewaard,44
Montferland,23
Drechterland,28
Alphen aan den Rijn,51
Brielle,44
Capelle aan den IJssel,52
Delft,53
Dordrecht,47
Gorinchem,54
Gouda,49
's-Gravenhage,3
Hardinxveld-Giessendam,54
Hillegom,45
Hellevoetsluis,44
Hendrik-Ido-Ambacht,50
Stede Broec,28
Katwijk,55
Krimpen aan den IJssel,52
Leerdam,54
Leiden,55
Leiderdorp,55
Lisse,45
Maassluis,7
Nieuwkoop,51
Noordwijk,55
Noordwijkerhout,55
Oegstgeest,55
Oud-Beijerland,18
Binnenmaas,18
Korendijk,18
Oudewater,33
Rijswijk,3
Ridderkerk,50
Rotterdam,10
Schiedam,56
Sliedrecht,47
Albrandswaard,50
Westvoorne,44
Strijen,18
Zwijndrecht,50
Vianen,32
Vlaardingen,56
Voorschoten,55
Waddinxveen,49
Wassenaar,57
Woerden,33
Zoetermeer,10
Zoeterwoude,55
Borsele,58
Goes,58
Kapelle,58
West Maas en Waal,26
Hulst,10
Reimerswaal,58
Tholen,59
Middelburg,58
Giessenlanden,54
Zederik,54
Terneuzen,10
Pekela,4
Reusel-De Mierden,41
Roerdalen,22
Roosendaal,35
Veere,58
Vlissingen,58
Maasgouw,22
Eemsmond,0
Gemert-Bakel,60
Halderberge,35
Lingewaal,54
De Ronde Venen,37
Tytsjerksteradiel,6
Aalburg,29
Asten,60
Baarle-Nassau,12
Bergen op Zoom,59
Best,43
Boekel,61
Boxmeer,62
Boxtel,63
Breda,36
Deurne,60
Dongen,36
Eersel,41
Eindhoven,43
Etten-Leur,35
Schouwen-Duiveland,58
Aa en Hunze,4
Geertruidenberg,36
Gilze en Rijen,12
Goirle,12
Grave,24
Haaren,63
Helmond,60
's-Hertogenbosch,63
Heusden,29
Hilvarenbeek,12
Loon op Zand,29
Sint-Michielsgestel,63
Mill en Sint Hubert,62
"Nuenen, Gerwen en Nederwetten",43
Oirschot,41
Oisterwijk,12
Oosterhout,36
Oss,61
Rucphen,35
Someren,60
Son en Breugel,43
Nederweert,22
Borger-Odoorn,4
Steenbergen,59
Waterland,39
Tilburg,12
Uden,61
Valkenswaard,43
Cuijk,62
Veldhoven,43
Vught,63
Landerd,61
De Wolden,13
Lansingerland,64
Leudal,22
Noord-Beveland,58
Wijdemeren,31
Noordenveld,0
Twenterand,14
Westerveld,13
Waalre,43
Sint Anthonis,62
Waalwijk,29
Werkendam,54
Woensdrecht,59
Woudrichem,54
Zundert,35
Onderbanken,1
Wormerland,48
Brunssum,1
Landgraaf,1
Beek,1
Mook en Middelaar,62
Beesel,2
Bergen (L.),62
Gennep,62
Heerlen,1
Kerkrade,1
Maastricht,7
Meerssen,7
Nuth,1
Roermond,22
Schinnen,1
Simpelveld,1
Venray,2
Teylingen,55
Heeze-Leende,43
Laarbeek,60
De Marne,0
Lingewaard,8
Bernheze,61
Ferwerderadiel,6
Alphen-Chaam,12
Bergeijk,41
Rijssen-Holten,14
Westland,7
Midden-Delfland,53
Berkelland,23
Bronckhorst,23
Sittard-Geleen,1
Kaag en Braassem,51
Dantumadiel,6
Zuidplas,49
Peel en Maas,2
Oldambt,4
Zwartewaterland,21
Súdwest-Fryslân,6
Bodegraven-Reeuwijk,49
Hollands Kroon,46
Leidschendam-Voorburg,57
Pijnacker-Nootdorp,53
Molenwaard,47
Gooise Meren,31
Berg en Dal,24
Meierijstad,61
Waadhoeke,6
Westerwolde,4
