item,cluster
Appingedam,0
Bedum,0
Ten Boer,0
Delfzijl,0
Groningen,0
Grootegast,0
Stein,1
Vaals,1
Venlo,2
Haren,0
Leek,0
Loppersum,0
Marum,0
Almere,3
Voerendaal,1
Stadskanaal,0
Veendam,0
Zeewolde,3
Winsum,0
Zuidhorn,0
Dongeradeel,0
Achtkarspelen,0
Ameland,0
Valkenburg aan de Geul,1
Arnhem,4
Harlingen,0
Heerenveen,0
Kollumerland en Nieuwkruisland,0
Leeuwarden,0
Ooststellingwerf,0
Opsterland,0
Schiermonnikoog,0
Smallingerland,0
Terschelling,0
Vlieland,0
Weststellingwerf,0
Assen,0
Coevorden,0
Emmen,0
Hoogeveen,0
Meppel,0
Almelo,5
Borne,5
Dalfsen,6
Deventer,6
Cromstrijen,7
Enschede,5
Barneveld,4
Haaksbergen,5
Hardenberg,6
Hellendoorn,5
Heemstede,0
Diemen,8
Hengelo,5
Harderwijk,9
Kampen,6
Losser,5
Noordoostpolder,3
Haarlemmerliede en Spaarnwoude,0
Oldenzaal,5
Ommen,6
Raalte,6
Staphorst,6
Tubbergen,5
Urk,3
Weert,2
Wierden,5
Zwolle,6
Aalten,9
Apeldoorn,9
Beuningen,10
Brummen,9
Buren,10
Culemborg,10
Doesburg,4
Doetinchem,9
Druten,10
Lelystad,3
Horst aan de Maas,2
Oude IJsselstreek,9
Utrechtse Heuvelrug,11
Oost Gelre,9
Koggenland,12
Hattem,9
Duiven,4
Ede,4
Elburg,9
Rozendaal,4
Epe,9
Ermelo,9
Geldermalsen,10
Westervoort,4
Heerde,9
Heumen,10
Lochem,9
Zutphen,9
Maasdriel,10
Nijkerk,4
Nijmegen,10
Oldebroek,9
Putten,9
Renkum,4
Rheden,4
Bunschoten,11
Scherpenzeel,4
Tiel,10
Voorst,9
Wageningen,4
Winterswijk,9
Wijchen,10
Zaltbommel,10
Zevenaar,4
Nunspeet,9
Dronten,3
Neerijnen,10
Amersfoort,11
Baarn,11
De Bilt,11
Bunnik,11
Eemnes,11
Houten,11
Leusden,11
Lopik,11
Montfoort,11
Renswoude,11
Steenwijkerland,6
Rhenen,11
Soest,11
Utrecht,11
Veenendaal,11
Woudenberg,11
Cranendonck,13
Moerdijk,14
Echt-Susteren,2
Sluis,0
Drimmelen,14
Wijk bij Duurstede,11
IJsselstein,11
Zeist,11
Nieuwegein,11
Aalsmeer,8
Alkmaar,12
Blaricum,15
Amstelveen,8
Amsterdam,8
Beemster,16
Bergen (NH.),12
Beverwijk,0
Bladel,13
Gulpen-Wittem,1
Tynaarlo,0
Eijsden-Margraten,1
Stichtse Vecht,11
Midden-Drenthe,0
Overbetuwe,4
Hof van Twente,5
Neder-Betuwe,10
Geldrop-Mierlo,13
Olst-Wijhe,6
Dinkelland,5
Bloemendaal,0
Goeree-Overflakkee,17
Castricum,12
Edam-Volendam,16
Enkhuizen,12
Haarlem,0
Haarlemmermeer,0
Heemskerk,0
Heerhugowaard,12
Hoorn,12
Heiloo,12
Den Helder,12
Hilversum,15
Papendrecht,7
Huizen,15
Landsmeer,16
Langedijk,12
Laren,15
Purmerend,16
Medemblik,12
Oostzaan,16
Opmeer,12
Ouder-Amstel,8
Schagen,12
Texel,12
Uitgeest,0
Uithoorn,8
Velsen,0
Krimpenerwaard,5
De Fryske Marren,0
Midden-Groningen,0
Weesp,15
Zandvoort,0
Barendrecht,17
Zaanstad,16
Alblasserdam,7
Nissewaard,17
Montferland,9
Drechterland,12
Alphen aan den Rijn,5
Brielle,17
Capelle aan den IJssel,17
Delft,18
Dordrecht,7
Gorinchem,7
Gouda,5
's-Gravenhage,18
Hardinxveld-Giessendam,7
Hillegom,5
Hellevoetsluis,17
Hendrik-Ido-Ambacht,7
Stede Broec,12
Katwijk,5
Krimpen aan den IJssel,17
Leerdam,11
Leiden,5
Leiderdorp,5
Lisse,5
Maassluis,17
Nieuwkoop,5
Noordwijk,5
Noordwijkerhout,5
Oegstgeest,5
Oud-Beijerland,7
Binnenmaas,7
Korendijk,7
Oudewater,11
Rijswijk,18
Ridderkerk,17
Rotterdam,17
Schiedam,17
Sliedrecht,7
Albrandswaard,17
Westvoorne,17
Strijen,7
Zwijndrecht,7
Vianen,11
Vlaardingen,17
Voorschoten,5
Waddinxveen,5
Wassenaar,18
Woerden,11
Zoetermeer,18
Zoeterwoude,5
Borsele,0
Goes,0
Kapelle,0
West Maas en Waal,10
Hulst,0
Reimerswaal,0
Tholen,0
Middelburg,0
Giessenlanden,7
Zederik,11
Terneuzen,0
Pekela,0
Reusel-De Mierden,13
Roerdalen,2
Roosendaal,14
Veere,0
Vlissingen,0
Maasgouw,2
Eemsmond,0
Gemert-Bakel,13
Halderberge,14
Lingewaal,10
De Ronde Venen,11
Tytsjerksteradiel,0
Aalburg,14
Asten,13
Baarle-Nassau,14
Bergen op Zoom,14
Best,13
Boekel,19
Boxmeer,19
Boxtel,19
Breda,14
Deurne,13
Dongen,14
Eersel,13
Eindhoven,13
Etten-Leur,14
Schouwen-Duiveland,0
Aa en Hunze,0
Geertruidenberg,14
Gilze en Rijen,14
Goirle,14
Grave,19
Haaren,19
Helmond,13
's-Hertogenbosch,19
Heusden,19
Hilvarenbeek,14
Loon op Zand,14
Sint-Michielsgestel,19
Mill en Sint Hubert,19
"Nuenen, Gerwen en Nederwetten",13
Oirschot,13
Oisterwijk,14
Oosterhout,14
Oss,19
Rucphen,14
Someren,13
Son en Breugel,13
Nederweert,2
Borger-Odoorn,0
Steenbergen,14
Waterland,16
Tilburg,14
Uden,19
Valkenswaard,13
Cuijk,19
Veldhoven,13
Vught,19
Landerd,19
De Wolden,0
Lansingerland,17
Leudal,2
Noord-Beveland,0
Wijdemeren,15
Noordenveld,0
Twenterand,5
Westerveld,0
Waalre,13
Sint Anthonis,19
Waalwijk,14
Werkendam,14
Woensdrecht,14
Woudrichem,14
Zundert,14
Onderbanken,1
Wormerland,16
Brunssum,1
Landgraaf,1
Beek,1
Mook en Middelaar,2
Beesel,2
Bergen (L.),2
Gennep,2
Heerlen,1
Kerkrade,1
Maastricht,1
Meerssen,1
Nuth,1
Roermond,2
Schinnen,1
Simpelveld,1
Venray,2
Teylingen,5
Heeze-Leende,13
Laarbeek,13
De Marne,0
Lingewaard,4
Bernheze,19
Ferwerderadiel,0
Alphen-Chaam,14
Bergeijk,13
Rijssen-Holten,5
Westland,18
Midden-Delfland,18
Berkelland,9
Bronckhorst,9
Sittard-Geleen,1
Kaag en Braassem,5
Dantumadiel,0
Zuidplas,5
Peel en Maas,2
Oldambt,0
Zwartewaterland,6
Súdwest-Fryslân,0
Bodegraven-Reeuwijk,5
Hollands Kroon,12
Leidschendam-Voorburg,18
Pijnacker-Nootdorp,18
Molenwaard,7
Gooise Meren,15
Berg en Dal,10
Meierijstad,19
Waadhoeke,0
Westerwolde,0
