name,susceptible,exposed,infected_tested,infected_nottested,removed_tested,removed_nottested,inhabitant
Appingedam,11895.0,30.0,1.0,14.0,2.0,28.0,11970.0
Bedum,10402.00622434712,1.4180686482341809,0.2836137296468362,3.9705922150557065,4.8214334039962115,67.50006765594696,10480.0
Ten Boer,7215.573298429319,2.8625654450261795,0.28625654450261795,4.007591623036651,4.484685863874345,62.78560209424083,7289.999999999999
Delfzijl,24735.0,15.0,1.0,14.0,14.0,196.0,24975.0
Groningen,200269.27617801048,79.45091623036646,7.945091623036646,111.23128272251304,124.47310209424084,1742.6234293193718,202335.0
Grootegast,12074.466194578503,1.6460691894817625,0.3292138378963507,4.60899373054891,5.5966352442379685,78.35289341933156,12165.0
Stein,23580.0,120.0,15.0,210.0,76.0,1064.0,25065.0
Vaals,9290.0,15.0,5.0,70.0,22.0,308.0,9710.0
Venlo,96880.0,360.0,39.0,546.0,215.0,3010.0,101050.0
Haren,19375.15052356021,7.686518324607334,0.7686518324607334,10.761125654450268,12.042212041884817,168.59096858638742,19575.0
Leek,19483.910513734158,2.656172477560794,0.5312344955121553,7.437282937170174,9.030986423706644,126.43380993189301,19630.0
Loppersum,9870.0,0.0,0.0,0.0,2.0,28.0,9900.0
Marum,10322.601596680348,1.4072436967209478,0.2814487393441878,3.940282350818629,4.784628568851203,66.98479996391684,10400.000000000002
Almere,196660.0,435.0,64.0,896.0,189.0,2646.0,200890.0
Voerendaal,11845.0,45.0,8.0,112.0,30.0,420.0,12460.0
Stadskanaal,32170.0,0.0,1.0,14.0,4.0,56.0,32245.0
Veendam,27410.0,15.0,0.0,0.0,7.0,98.0,27530.0
Zeewolde,21945.0,90.0,5.0,70.0,23.0,322.0,22455.0
Winsum,13498.786703351225,1.8402417572504692,0.36804835145009207,5.152676920301289,6.256821974651571,87.595507645122,13600.000000000002
Zuidhorn,18719.640972441477,2.5519823192458446,0.5103964638491725,7.145550493888415,8.67673988543593,121.47435839610303,18859.999999999996
Dongeradeel,23738.70826010545,0.0,0.0,0.0,12.086115992970123,169.20562390158173,23920.0
Achtkarspelen,27770.0,15.0,1.0,14.0,7.0,98.0,27905.0
Ameland,3630.0,0.0,0.0,0.0,0.0,0.0,3630.0
Valkenburg aan de Geul,15505.0,30.0,10.0,140.0,51.0,714.0,16450.0
Arnhem,152185.0,315.0,29.0,406.0,184.0,2576.0,155695.0
Harlingen,15625.0,15.0,3.0,42.0,12.0,168.0,15865.0
Heerenveen,48960.0,45.0,9.0,126.0,70.0,980.0,50190.0
Kollumerland en Nieuwkruisland,12772.45716168717,0.0,0.0,0.0,6.502855887521968,91.03998242530756,12870.0
Leeuwarden,121415.0,60.0,1.0,14.0,48.0,672.0,122210.0
Ooststellingwerf,25440.0,30.0,3.0,42.0,2.0,28.0,25545.0
Opsterland,29385.0,15.0,2.0,28.0,19.0,266.0,29715.0
Schiermonnikoog,940.0,0.0,0.0,0.0,0.0,0.0,940.0
Smallingerland,54970.0,120.0,6.0,84.0,33.0,462.0,55675.0
Terschelling,4825.0,0.0,0.0,0.0,2.0,28.0,4855.0
Vlieland,1085.0,0.0,0.0,0.0,0.0,0.0,1085.0
Weststellingwerf,25240.0,60.0,6.0,84.0,15.0,210.0,25615.0
Assen,66975.0,45.0,3.0,42.0,32.0,448.0,67545.0
Coevorden,34485.0,105.0,4.0,56.0,42.0,588.0,35280.0
Emmen,106195.0,180.0,13.0,182.0,62.0,868.0,107500.0
Hoogeveen,54175.0,165.0,19.0,266.0,45.0,630.0,55300.0
Meppel,32570.0,30.0,3.0,42.0,25.0,350.0,33020.0
Almelo,71205.0,60.0,12.0,168.0,69.0,966.0,72480.0
Borne,22125.0,30.0,1.0,14.0,42.0,588.0,22800.0
Dalfsen,26995.0,75.0,12.0,168.0,55.0,770.0,28075.0
Deventer,96420.0,210.0,46.0,644.0,130.0,1820.0,99270.0
Cromstrijen,12295.387848012608,71.69322360357202,4.331465592715812,60.64051829802137,24.19646296620557,338.750481526878,12795.0
Enschede,155555.0,195.0,14.0,196.0,146.0,2044.0,158150.0
Barneveld,54855.0,75.0,13.0,182.0,82.0,1148.0,56355.0
Haaksbergen,23495.0,15.0,4.0,56.0,45.0,630.0,24245.0
Hardenberg,57830.0,90.0,21.0,294.0,131.0,1834.0,60200.0
Hellendoorn,34690.0,270.0,12.0,168.0,42.0,588.0,35770.0
Heemstede,25645.0,0.0,2.0,28.0,84.0,1176.0,26935.0
Diemen,26165.0,165.0,20.0,280.0,43.0,602.0,27275.0
Hengelo,79145.0,15.0,6.0,84.0,104.0,1456.0,80810.0
Harderwijk,44695.0,300.0,25.0,350.0,66.0,924.0,46360.0
Kampen,47975.0,210.0,41.0,574.0,247.0,3458.0,52505.0
Losser,22145.0,30.0,2.0,28.0,18.0,252.0,22475.0
Noordoostpolder,45605.0,150.0,17.0,238.0,36.0,504.0,46550.0
Haarlemmerliede en Spaarnwoude,5558.539612937259,6.163496093106069,0.522963304869605,7.3214862681744695,6.163496093106064,86.2889453034849,5665.0
Oldenzaal,31300.0,30.0,4.0,56.0,41.0,574.0,32005.0
Ommen,16825.0,15.0,8.0,112.0,38.0,532.0,17530.0
Raalte,34930.0,300.0,43.0,602.0,68.0,952.0,36895.0
Staphorst,15790.0,30.0,8.0,112.0,45.0,630.0,16615.0
Tubbergen,20045.0,30.0,5.0,70.0,67.0,938.0,21155.0
Urk,19260.0,120.0,12.0,168.0,44.0,616.0,20220.0
Weert,47815.0,165.0,7.0,98.0,99.0,1386.0,49570.0
Wierden,23575.0,90.0,3.0,42.0,34.0,476.0,24220.0
Zwolle,120855.0,315.0,45.0,630.0,247.0,3458.0,125550.0
Aalten,26270.0,75.0,16.0,224.0,30.0,420.0,27035.0
Apeldoorn,155295.0,570.0,79.0,1106.0,199.0,2786.0,160035.0
Beuningen,24565.0,90.0,9.0,126.0,42.0,588.0,25420.0
Brummen,20405.0,15.0,4.0,56.0,24.0,336.0,20840.0
Buren,25730.0,60.0,7.0,98.0,26.0,364.0,26285.0
Culemborg,27065.0,30.0,10.0,140.0,41.0,574.0,27860.0
Doesburg,10985.0,45.0,2.0,28.0,19.0,266.0,11345.0
Doetinchem,55905.0,165.0,10.0,140.0,57.0,798.0,57075.0
Druten,16990.0,60.0,18.0,252.0,83.0,1162.0,18565.0
Lelystad,74935.0,315.0,23.0,322.0,90.0,1260.0,76945.0
Horst aan de Maas,40450.0,165.0,9.0,126.0,93.0,1302.0,42145.0
Oude IJsselstreek,38570.0,165.0,9.0,126.0,46.0,644.0,39560.0
Utrechtse Heuvelrug,48110.0,75.0,9.0,126.0,72.0,1008.0,49400.0
Oost Gelre,28945.0,45.0,5.0,70.0,38.0,532.0,29635.0
Koggenland,22050.0,15.0,3.0,42.0,27.0,378.0,22515.0
Hattem,11440.0,15.0,3.0,42.0,36.0,504.0,12040.0
Duiven,24800.0,60.0,4.0,56.0,32.0,448.0,25400.0
Ede,110695.0,240.0,26.0,364.0,138.0,1932.0,113395.0
Elburg,21455.0,120.0,20.0,280.0,77.0,1078.0,23030.0
Rozendaal,1445.0,0.0,1.0,14.0,2.0,28.0,1490.0
Epe,30800.0,180.0,24.0,336.0,80.0,1120.0,32540.0
Ermelo,25200.0,120.0,14.0,196.0,71.0,994.0,26595.0
Geldermalsen,25369.64649490713,95.55422408627933,14.863990413421206,208.09586578789688,59.45596165368484,832.3834631515878,26580.000000000004
Westervoort,14525.0,15.0,7.0,98.0,23.0,322.0,14990.0
Heerde,16060.0,330.0,32.0,448.0,113.0,1582.0,18565.0
Heumen,15545.0,105.0,9.0,126.0,46.0,644.0,16475.0
Lochem,32375.0,180.0,17.0,238.0,49.0,686.0,33545.0
Zutphen,46320.0,150.0,10.0,140.0,48.0,672.0,47340.0
Maasdriel,23685.0,120.0,3.0,42.0,27.0,378.0,24255.0
Nijkerk,41055.0,30.0,3.0,42.0,43.0,602.0,41775.0
Nijmegen,165785.0,270.0,56.0,784.0,443.0,6202.0,173540.0
Oldebroek,21295.0,375.0,15.0,210.0,91.0,1274.0,23260.0
Putten,24155.0,15.0,1.0,14.0,16.0,224.0,24425.0
Renkum,30495.0,75.0,11.0,154.0,44.0,616.0,31395.0
Rheden,42680.0,15.0,6.0,84.0,58.0,812.0,43655.0
Bunschoten,20230.0,75.0,12.0,168.0,36.0,504.0,21025.0
Scherpenzeel,9420.0,30.0,1.0,14.0,16.0,224.0,9705.0
Tiel,40155.0,60.0,16.0,224.0,69.0,966.0,41490.0
Voorst,23570.0,0.0,7.0,98.0,36.0,504.0,24215.0
Wageningen,37830.0,30.0,7.0,98.0,33.0,462.0,38460.0
Winterswijk,28405.0,75.0,7.0,98.0,21.0,294.0,28900.0
Wijchen,39030.0,75.0,23.0,322.0,95.0,1330.0,40875.0
Zaltbommel,26700.0,135.0,12.0,168.0,47.0,658.0,27720.0
Zevenaar,42010.0,45.0,14.0,196.0,64.0,896.0,43225.0
Nunspeet,24240.0,315.0,37.0,518.0,119.0,1666.0,26895.0
Dronten,39260.0,135.0,23.0,322.0,67.0,938.0,40745.0
Neerijnen,11773.310365488316,44.3439185140803,6.897942879968046,96.57120031955264,27.59177151987218,386.2848012782105,12335.0
Amersfoort,152030.0,120.0,15.0,210.0,131.0,1834.0,154340.0
Baarn,23885.0,105.0,5.0,70.0,30.0,420.0,24515.0
De Bilt,41135.0,210.0,9.0,126.0,85.0,1190.0,42755.0
Bunnik,14735.0,75.0,3.0,42.0,20.0,280.0,15155.0
Eemnes,8790.0,0.0,3.0,42.0,11.0,154.0,9000.0
Houten,47770.0,105.0,3.0,42.0,92.0,1288.0,49300.0
Leusden,29150.0,30.0,2.0,28.0,31.0,434.0,29675.0
Lopik,13490.0,120.0,11.0,154.0,29.0,406.0,14210.0
Montfoort,13350.0,30.0,0.0,0.0,32.0,448.0,13860.0
Renswoude,4845.0,15.0,3.0,42.0,13.0,182.0,5100.0
Steenwijkerland,42280.0,45.0,15.0,210.0,60.0,840.0,43450.0
Rhenen,18915.0,15.0,4.0,56.0,16.0,224.0,19230.0
Soest,44820.0,30.0,3.0,42.0,65.0,910.0,45870.0
Utrecht,332025.0,870.0,68.0,952.0,607.0,8498.0,343020.0
Veenendaal,62330.0,225.0,28.0,392.0,87.0,1218.0,64280.0
Woudenberg,12310.0,30.0,2.0,28.0,22.0,308.0,12700.0
Cranendonck,18320.0,90.0,10.0,140.0,141.0,1974.0,20675.0
Moerdijk,36045.0,90.0,8.0,112.0,45.0,630.0,36930.0
Echt-Susteren,30615.0,90.0,8.0,112.0,66.0,924.0,31815.0
Sluis,23415.0,0.0,1.0,14.0,15.0,210.0,23655.0
Drimmelen,26000.0,75.0,10.0,140.0,43.0,602.0,26870.0
Wijk bij Duurstede,23100.0,30.0,1.0,14.0,24.0,336.0,23505.0
IJsselstein,32575.0,240.0,12.0,168.0,81.0,1134.0,34210.0
Zeist,60945.0,150.0,16.0,224.0,99.0,1386.0,62820.0
Nieuwegein,60410.0,210.0,10.0,140.0,73.0,1022.0,61865.0
Aalsmeer,30825.0,15.0,5.0,70.0,30.0,420.0,31365.0
Alkmaar,105185.0,255.0,21.0,294.0,175.0,2450.0,108380.0
Blaricum,9855.0,0.0,5.0,70.0,18.0,252.0,10200.0
Amstelveen,85105.0,345.0,46.0,644.0,210.0,2940.0,89290.0
Amsterdam,833095.0,1215.0,118.0,1652.0,585.0,8190.0,844855.0
Beemster,9090.0,0.0,0.0,0.0,8.0,112.0,9210.0
Bergen (NH.),29095.0,15.0,3.0,42.0,46.0,644.0,29845.0
Beverwijk,39700.0,15.0,8.0,112.0,58.0,812.0,40705.0
Bladel,19340.0,30.0,4.0,56.0,43.0,602.0,20075.0
Gulpen-Wittem,13380.0,90.0,16.0,224.0,43.0,602.0,14355.0
Tynaarlo,32725.0,15.0,3.0,42.0,33.0,462.0,33280.0
Eijsden-Margraten,23240.0,105.0,13.0,182.0,117.0,1638.0,25295.0
Stichtse Vecht,63110.0,105.0,11.0,154.0,72.0,1008.0,64460.0
Midden-Drenthe,33115.0,15.0,1.0,14.0,17.0,238.0,33400.0
Overbetuwe,45770.0,60.0,6.0,84.0,99.0,1386.0,47405.0
Hof van Twente,34145.0,15.0,4.0,56.0,53.0,742.0,35015.0
Neder-Betuwe,21850.0,210.0,15.0,210.0,68.0,952.0,23305.0
Geldrop-Mierlo,37690.0,90.0,11.0,154.0,75.0,1050.0,39070.0
Olst-Wijhe,17340.0,30.0,6.0,84.0,33.0,462.0,17955.0
Dinkelland,25200.0,45.0,4.0,56.0,62.0,868.0,26235.0
Bloemendaal,22215.0,15.0,2.0,28.0,37.0,518.0,22815.0
Goeree-Overflakkee,45035.0,30.0,13.0,182.0,226.0,3164.0,48650.0
Castricum,34145.0,30.0,13.0,182.0,56.0,784.0,35210.0
Edam-Volendam,34675.0,60.0,19.0,266.0,52.0,728.0,35800.0
Enkhuizen,18055.0,15.0,0.0,0.0,27.0,378.0,18475.0
Haarlem,155680.0,105.0,8.0,112.0,220.0,3080.0,159205.0
Haarlemmermeer,143246.46038706275,158.83650390689382,13.47703669513038,188.67851373182532,158.83650390689394,2223.711054696515,145990.00000000006
Heemskerk,38055.0,0.0,5.0,70.0,69.0,966.0,39165.0
Heerhugowaard,52990.0,195.0,19.0,266.0,98.0,1372.0,54940.0
Hoorn,71220.0,45.0,14.0,196.0,68.0,952.0,72495.0
Heiloo,22220.0,30.0,2.0,28.0,39.0,546.0,22865.0
Den Helder,55475.0,15.0,1.0,14.0,34.0,476.0,56015.0
Hilversum,86890.0,390.0,33.0,462.0,75.0,1050.0,88900.0
Papendrecht,31605.0,45.0,3.0,42.0,40.0,560.0,32295.0
Huizen,40095.0,255.0,21.0,294.0,48.0,672.0,41385.0
Landsmeer,10940.0,30.0,3.0,42.0,17.0,238.0,11270.0
Langedijk,26960.0,30.0,3.0,42.0,38.0,532.0,27605.0
Laren,10755.0,30.0,1.0,14.0,19.0,266.0,11085.0
Purmerend,77130.0,225.0,23.0,322.0,148.0,2072.0,79920.0
Medemblik,43025.0,105.0,7.0,98.0,52.0,728.0,44015.0
Oostzaan,9290.0,30.0,3.0,42.0,19.0,266.0,9650.0
Opmeer,11315.0,0.0,1.0,14.0,6.0,84.0,11420.0
Ouder-Amstel,13030.0,15.0,1.0,14.0,24.0,336.0,13420.0
Schagen,45200.0,15.0,8.0,112.0,57.0,798.0,46190.0
Texel,13385.0,0.0,0.0,0.0,10.0,140.0,13535.0
Uitgeest,13150.0,0.0,2.0,28.0,19.0,266.0,13465.0
Uithoorn,28530.0,45.0,2.0,28.0,40.0,560.0,29205.0
Velsen,63965.0,255.0,22.0,308.0,202.0,2828.0,67580.0
Krimpenerwaard,53315.0,120.0,9.0,126.0,109.0,1526.0,55205.0
De Fryske Marren,50790.0,30.0,3.0,42.0,48.0,672.0,51585.0
Midden-Groningen,60690.0,45.0,1.0,14.0,25.0,350.0,61125.0
Weesp,17985.0,225.0,7.0,98.0,29.0,406.0,18750.0
Zandvoort,16465.0,0.0,0.0,0.0,29.0,406.0,16900.0
Barendrecht,46855.0,135.0,15.0,210.0,75.0,1050.0,48340.0
Zaanstad,149040.0,375.0,41.0,574.0,242.0,3388.0,153660.0
Alblasserdam,19485.0,30.0,8.0,112.0,25.0,350.0,20010.0
Nissewaard,83330.0,90.0,18.0,252.0,113.0,1582.0,85385.0
Montferland,34195.0,135.0,16.0,224.0,50.0,700.0,35320.0
Drechterland,18755.0,30.0,5.0,70.0,35.0,490.0,19385.0
Alphen aan den Rijn,106640.0,180.0,27.0,378.0,112.0,1568.0,108905.0
Brielle,16430.0,15.0,2.0,28.0,24.0,336.0,16835.0
Capelle aan den IJssel,62845.0,315.0,40.0,560.0,177.0,2478.0,66415.0
Delft,99735.0,135.0,10.0,140.0,91.0,1274.0,101385.0
Dordrecht,115100.0,255.0,39.0,546.0,183.0,2562.0,118685.0
Gorinchem,33715.0,150.0,11.0,154.0,115.0,1610.0,35755.0
Gouda,68495.0,255.0,25.0,350.0,175.0,2450.0,71750.0
's-Gravenhage,509527.0,2175.0,181.0,2534.0,694.0,9716.0,524827.0
Hardinxveld-Giessendam,17465.0,15.0,2.0,28.0,24.0,336.0,17870.0
Hillegom,20895.0,0.0,5.0,70.0,23.0,322.0,21315.0
Hellevoetsluis,37845.0,30.0,4.0,56.0,52.0,728.0,38715.0
Hendrik-Ido-Ambacht,29295.0,30.0,5.0,70.0,22.0,308.0,29730.0
Stede Broec,20860.0,30.0,3.0,42.0,41.0,574.0,21550.0
Katwijk,62145.0,330.0,37.0,518.0,100.0,1400.0,64530.0
Krimpen aan den IJssel,28205.0,75.0,12.0,168.0,44.0,616.0,29120.0
Leerdam,19777.47888358428,63.321704002937906,10.361733382298944,145.0642673521852,60.25156077855306,843.5218508997428,20900.0
Leiden,121835.0,135.0,10.0,140.0,102.0,1428.0,123650.0
Leiderdorp,26740.0,45.0,2.0,28.0,21.0,294.0,27130.0
Lisse,22415.0,0.0,2.0,28.0,18.0,252.0,22715.0
Maassluis,31740.0,45.0,5.0,70.0,40.0,560.0,32460.0
Nieuwkoop,27225.0,15.0,9.0,126.0,35.0,490.0,27900.0
Noordwijk,25490.645161290322,9.193548387096726,4.290322580645164,60.06451612903229,18.387096774193548,257.4193548387097,25840.0
Noordwijkerhout,16099.354838709678,5.806451612903221,2.709677419354838,37.93548387096773,11.612903225806452,162.58064516129033,16320.0
Oegstgeest,23055.0,30.0,7.0,98.0,28.0,392.0,23610.0
Oud-Beijerland,23077.27543337419,134.56137278935387,8.12974960602346,113.81649448432843,45.41446331640693,635.8024864296971,24015.000000000004
Binnenmaas,27978.133426720364,163.1378042374365,9.856242339345123,137.9873927508317,55.05900893013483,770.8261250218876,29115.0
Korendijk,10527.235160217126,61.38329539485207,3.7085740967723098,51.92003735481234,20.716862195762566,290.03607074067594,10955.0
Oudewater,9445.0,45.0,3.0,42.0,43.0,602.0,10180.0
Rijswijk,49590.0,210.0,19.0,266.0,63.0,882.0,51030.0
Ridderkerk,43995.0,105.0,9.0,126.0,78.0,1092.0,45405.0
Rotterdam,607815.0,2520.0,248.0,3472.0,1374.0,19236.0,634665.0
Schiedam,75305.0,285.0,47.0,658.0,103.0,1442.0,77840.0
Sliedrecht,24390.0,90.0,2.0,28.0,33.0,462.0,25005.0
Albrandswaard,23925.0,60.0,13.0,182.0,62.0,868.0,25110.0
Westvoorne,13910.0,15.0,0.0,0.0,22.0,308.0,14255.0
Strijen,8441.968131675714,49.224303974785464,2.9739683651432927,41.6355571120061,16.613202591490104,232.58483628086145,8785.0
Zwijndrecht,42770.0,210.0,19.0,266.0,77.0,1078.0,44420.0
Vianen,18660.85567388909,59.746603011384494,9.77671685640837,136.87403598971719,56.84979801689313,795.8971722365038,19719.999999999996
Vlaardingen,68810.0,660.0,31.0,434.0,137.0,1918.0,71990.0
Voorschoten,24785.0,60.0,4.0,56.0,27.0,378.0,25310.0
Waddinxveen,25815.0,60.0,8.0,112.0,36.0,504.0,26535.0
Wassenaar,25450.0,60.0,5.0,70.0,31.0,434.0,26050.0
Woerden,49515.0,165.0,15.0,210.0,107.0,1498.0,51510.0
Zoetermeer,122415.0,210.0,26.0,364.0,118.0,1652.0,124785.0
Zoeterwoude,8260.0,0.0,0.0,0.0,7.0,98.0,8365.0
Borsele,22360.0,15.0,2.0,28.0,19.0,266.0,22690.0
Goes,36260.0,30.0,5.0,70.0,60.0,840.0,37265.0
Kapelle,12310.0,60.0,2.0,28.0,15.0,210.0,12625.0
West Maas en Waal,17745.0,45.0,8.0,112.0,61.0,854.0,18825.0
Hulst,27010.0,0.0,1.0,14.0,25.0,350.0,27400.0
Reimerswaal,21940.0,60.0,2.0,28.0,22.0,308.0,22360.0
Tholen,23625.0,75.0,16.0,224.0,106.0,1484.0,25530.0
Middelburg,47365.0,45.0,6.0,84.0,35.0,490.0,48025.0
Giessenlanden,14110.325453922576,34.97601918465225,2.3317346123101537,32.64428457234215,26.981500513874618,377.7410071942447,14585.0
Zederik,13096.665442526624,41.9316929856776,6.861549761292693,96.0616966580977,39.898641204553805,558.5809768637532,13840.0
Terneuzen,53130.0,90.0,11.0,154.0,80.0,1120.0,54585.0
Pekela,12440.0,0.0,1.0,14.0,4.0,56.0,12515.0
Reusel-De Mierden,12590.0,0.0,3.0,42.0,18.0,252.0,12905.0
Roerdalen,20035.0,15.0,4.0,56.0,39.0,546.0,20695.0
Roosendaal,74420.0,240.0,30.0,420.0,137.0,1918.0,77165.0
Veere,21520.0,0.0,4.0,56.0,21.0,294.0,21895.0
Vlissingen,43685.0,15.0,1.0,14.0,45.0,630.0,44390.0
Maasgouw,22425.0,255.0,12.0,168.0,58.0,812.0,23730.0
Eemsmond,15538.493076541428,2.1183076992467553,0.42366153984935284,5.93126155789094,7.2022461774389965,100.83144648414596,15655.000000000002
Gemert-Bakel,27595.0,120.0,12.0,168.0,142.0,1988.0,30025.0
Halderberge,28805.0,15.0,6.0,84.0,45.0,630.0,29585.0
Lingewaal,10647.043139604553,40.10185739964047,6.238066706610745,87.33293389255043,24.95226682644298,349.3317355702017,11155.0
De Ronde Venen,41595.0,90.0,13.0,182.0,59.0,826.0,42765.0
Tytsjerksteradiel,31740.0,0.0,0.0,0.0,15.0,210.0,31965.0
Aalburg,12671.695125309832,25.20655466813551,2.8807491049297695,40.330487469016774,22.32580556320573,312.5612778848802,13075.0
Asten,15715.0,105.0,9.0,126.0,51.0,714.0,16720.0
Baarle-Nassau,6355.0,30.0,3.0,42.0,15.0,210.0,6655.0
Bergen op Zoom,64780.0,180.0,22.0,308.0,59.0,826.0,66175.0
Best,28345.0,105.0,2.0,28.0,47.0,658.0,29185.0
Boekel,9155.0,15.0,2.0,28.0,81.0,1134.0,10415.0
Boxmeer,27270.0,90.0,14.0,196.0,76.0,1064.0,28710.0
